---------------------------------Starting---------------------------------
{'model': 'DeepLab', 'dataset': 'nthu_husky', 'training': {'batch_size': 2, 'num_workers': 4, 'optimizer': 'SGD', 'momentum': 0.9, 'num_iterations': 250000, 'learning_rate': 0.00025, 'lr_schedule': 'Poly', 'lr_schedule_power': 0.9, 'weight_decay': 0.0005, 'use_sync_batchnorm': True, 'data': {'split_id_list': 0, 'labeled_samples': 0, 'input_size': '512,512', 'scale': False, 'crop': True}, 'unlabeled': {'train_unlabeled': True, 'consistency_weight': 1, 'consistency_loss': 'CE', 'pixel_weight': 'threshold_uniform', 'mix_mask': 'class', 'flip': False, 'color_jitter': True, 'blur': True}}, 'seed': 1, 'pretrained': 'coco', 'ignore_label': 255, 'utils': {'save_checkpoint_every': 1000, 'checkpoint_dir': './saved/DeepLabv2-nthu', 'val_per_iter': 5000, 'tensorboard': True, 'log_per_iter': 100, 'save_best_model': True}}
Found 1470 train images
dataset size:  1470
Training on number of samples: 0
gta size: 12483
iter =     64/250000, loss_l = 0.849, loss_u = 0.372, loss_my_cons = 0.751
iter =     65/250000, loss_l = 0.529, loss_u = 0.762, loss_my_cons = 1.867
iter =     66/250000, loss_l = 0.431, loss_u = 0.252, loss_my_cons = 1.282
iter =     67/250000, loss_l = 0.640, loss_u = 0.546, loss_my_cons = 0.561
iter =     68/250000, loss_l = 0.326, loss_u = 0.382, loss_my_cons = 0.842
iter =     69/250000, loss_l = 0.265, loss_u = 0.447, loss_my_cons = 0.703
iter =     70/250000, loss_l = 0.543, loss_u = 0.512, loss_my_cons = 0.611
iter =     71/250000, loss_l = 1.534, loss_u = 0.413, loss_my_cons = 0.684
iter =     72/250000, loss_l = 1.089, loss_u = 1.141, loss_my_cons = 0.828
iter =     73/250000, loss_l = 0.239, loss_u = 0.186, loss_my_cons = 1.075
iter =     74/250000, loss_l = 0.492, loss_u = 0.742, loss_my_cons = 0.587
iter =     75/250000, loss_l = 0.649, loss_u = 0.469, loss_my_cons = 0.414
iter =     76/250000, loss_l = 0.452, loss_u = 0.449, loss_my_cons = 1.253
iter =     77/250000, loss_l = 0.827, loss_u = 0.553, loss_my_cons = 1.335
iter =     78/250000, loss_l = 0.463, loss_u = 0.520, loss_my_cons = 0.812
iter =     79/250000, loss_l = 0.369, loss_u = 0.433, loss_my_cons = 0.834
iter =     80/250000, loss_l = 0.626, loss_u = 0.594, loss_my_cons = 1.002
iter =     81/250000, loss_l = 0.600, loss_u = 0.543, loss_my_cons = 0.804
iter =     82/250000, loss_l = 0.299, loss_u = 0.710, loss_my_cons = 0.767
iter =     83/250000, loss_l = 0.394, loss_u = 0.342, loss_my_cons = 0.915
iter =     84/250000, loss_l = 0.389, loss_u = 0.334, loss_my_cons = 0.509
iter =     85/250000, loss_l = 0.506, loss_u = 0.331, loss_my_cons = 0.833
iter =     86/250000, loss_l = 0.269, loss_u = 0.275, loss_my_cons = 0.369
iter =     87/250000, loss_l = 0.914, loss_u = 0.246, loss_my_cons = 0.493
iter =     88/250000, loss_l = 0.246, loss_u = 0.194, loss_my_cons = 0.953
iter =     89/250000, loss_l = 2.808, loss_u = 2.301, loss_my_cons = 0.578
iter =     90/250000, loss_l = 0.624, loss_u = 0.254, loss_my_cons = 0.647
iter =     91/250000, loss_l = 0.710, loss_u = 0.451, loss_my_cons = 0.899
iter =     92/250000, loss_l = 0.637, loss_u = 0.682, loss_my_cons = 0.778
iter =     93/250000, loss_l = 0.719, loss_u = 0.736, loss_my_cons = 1.073
iter =     94/250000, loss_l = 0.967, loss_u = 0.206, loss_my_cons = 0.908
iter =     95/250000, loss_l = 0.737, loss_u = 1.154, loss_my_cons = 0.555
iter =     96/250000, loss_l = 1.207, loss_u = 0.614, loss_my_cons = 1.252
iter =     97/250000, loss_l = 0.577, loss_u = 0.502, loss_my_cons = 0.797
iter =     98/250000, loss_l = 0.412, loss_u = 0.428, loss_my_cons = 0.699
iter =     99/250000, loss_l = 0.702, loss_u = 0.401, loss_my_cons = 0.708
iter =    100/250000, loss_l = 0.574, loss_u = 0.408, loss_my_cons = 0.551
iter =    101/250000, loss_l = 0.789, loss_u = 0.983, loss_my_cons = 0.507
iter =    102/250000, loss_l = 1.179, loss_u = 0.762, loss_my_cons = 0.456
iter =    103/250000, loss_l = 1.225, loss_u = 0.425, loss_my_cons = 0.586
iter =    104/250000, loss_l = 0.306, loss_u = 0.291, loss_my_cons = 0.489
iter =    105/250000, loss_l = 1.684, loss_u = 0.498, loss_my_cons = 0.643
iter =    106/250000, loss_l = 0.994, loss_u = 0.706, loss_my_cons = 1.127
iter =    107/250000, loss_l = 0.399, loss_u = 0.349, loss_my_cons = 0.597
iter =    108/250000, loss_l = 0.551, loss_u = 0.418, loss_my_cons = 1.082
iter =    109/250000, loss_l = 0.440, loss_u = 0.364, loss_my_cons = 1.261
iter =    110/250000, loss_l = 0.868, loss_u = 0.500, loss_my_cons = 0.810
iter =    111/250000, loss_l = 0.545, loss_u = 0.349, loss_my_cons = 1.269
iter =    112/250000, loss_l = 0.461, loss_u = 0.316, loss_my_cons = 0.569
iter =    113/250000, loss_l = 0.394, loss_u = 0.285, loss_my_cons = 0.878
iter =    114/250000, loss_l = 0.389, loss_u = 0.281, loss_my_cons = 0.603
iter =    115/250000, loss_l = 0.385, loss_u = 0.271, loss_my_cons = 0.809
iter =    116/250000, loss_l = 1.375, loss_u = 1.253, loss_my_cons = 0.781
iter =    117/250000, loss_l = 0.873, loss_u = 0.423, loss_my_cons = 1.077
iter =    118/250000, loss_l = 0.405, loss_u = 0.363, loss_my_cons = 0.821
iter =    119/250000, loss_l = 0.808, loss_u = 0.757, loss_my_cons = 1.020
iter =    120/250000, loss_l = 0.564, loss_u = 0.407, loss_my_cons = 0.448
iter =    121/250000, loss_l = 0.315, loss_u = 0.214, loss_my_cons = 0.694
iter =    122/250000, loss_l = 0.519, loss_u = 0.438, loss_my_cons = 0.359
iter =    123/250000, loss_l = 0.348, loss_u = 0.312, loss_my_cons = 0.612
iter =    124/250000, loss_l = 0.600, loss_u = 0.521, loss_my_cons = 0.844
iter =    125/250000, loss_l = 0.757, loss_u = 0.439, loss_my_cons = 1.279
iter =    126/250000, loss_l = 0.370, loss_u = 0.261, loss_my_cons = 0.983
iter =    127/250000, loss_l = 0.343, loss_u = 0.255, loss_my_cons = 0.662
iter =    128/250000, loss_l = 0.421, loss_u = 0.217, loss_my_cons = 0.684
iter =    129/250000, loss_l = 0.224, loss_u = 0.241, loss_my_cons = 1.471
iter =    130/250000, loss_l = 0.401, loss_u = 0.394, loss_my_cons = 1.347
iter =    131/250000, loss_l = 0.619, loss_u = 0.624, loss_my_cons = 0.705
iter =    132/250000, loss_l = 0.994, loss_u = 0.509, loss_my_cons = 0.459
iter =    133/250000, loss_l = 0.757, loss_u = 0.298, loss_my_cons = 0.562
iter =    134/250000, loss_l = 0.389, loss_u = 0.269, loss_my_cons = 0.631
iter =    135/250000, loss_l = 0.358, loss_u = 0.327, loss_my_cons = 0.667
iter =    136/250000, loss_l = 0.439, loss_u = 0.386, loss_my_cons = 1.285
iter =    137/250000, loss_l = 0.380, loss_u = 0.299, loss_my_cons = 0.683
iter =    138/250000, loss_l = 0.318, loss_u = 0.418, loss_my_cons = 0.955
iter =    139/250000, loss_l = 0.344, loss_u = 0.221, loss_my_cons = 1.452
iter =    140/250000, loss_l = 0.355, loss_u = 0.467, loss_my_cons = 2.011
iter =    141/250000, loss_l = 0.376, loss_u = 0.436, loss_my_cons = 1.029
iter =    142/250000, loss_l = 0.376, loss_u = 0.249, loss_my_cons = 1.305
iter =    143/250000, loss_l = 0.525, loss_u = 0.218, loss_my_cons = 0.600
iter =    144/250000, loss_l = 1.594, loss_u = 0.225, loss_my_cons = 0.753
iter =    145/250000, loss_l = 0.284, loss_u = 0.321, loss_my_cons = 0.749
iter =    146/250000, loss_l = 0.400, loss_u = 0.391, loss_my_cons = 0.959
iter =    147/250000, loss_l = 0.500, loss_u = 0.245, loss_my_cons = 0.622
iter =    148/250000, loss_l = 0.619, loss_u = 0.434, loss_my_cons = 0.577
iter =    149/250000, loss_l = 0.490, loss_u = 0.281, loss_my_cons = 1.024
iter =    150/250000, loss_l = 1.030, loss_u = 0.885, loss_my_cons = 0.485
iter =    151/250000, loss_l = 0.454, loss_u = 0.435, loss_my_cons = 1.144
iter =    152/250000, loss_l = 0.672, loss_u = 0.378, loss_my_cons = 0.915
iter =    153/250000, loss_l = 0.602, loss_u = 0.457, loss_my_cons = 0.427
iter =    154/250000, loss_l = 0.476, loss_u = 0.432, loss_my_cons = 0.652
iter =    155/250000, loss_l = 0.381, loss_u = 0.365, loss_my_cons = 0.510
iter =    156/250000, loss_l = 0.535, loss_u = 0.252, loss_my_cons = 0.782
iter =    157/250000, loss_l = 0.496, loss_u = 0.328, loss_my_cons = 1.685
iter =    158/250000, loss_l = 0.435, loss_u = 0.388, loss_my_cons = 0.615
iter =    159/250000, loss_l = 0.862, loss_u = 0.329, loss_my_cons = 0.550
iter =    160/250000, loss_l = 0.643, loss_u = 0.316, loss_my_cons = 0.764
iter =    161/250000, loss_l = 0.416, loss_u = 0.293, loss_my_cons = 0.834
iter =    162/250000, loss_l = 0.749, loss_u = 0.349, loss_my_cons = 0.378
iter =    163/250000, loss_l = 0.543, loss_u = 0.286, loss_my_cons = 1.155
iter =    164/250000, loss_l = 0.493, loss_u = 0.192, loss_my_cons = 0.466
iter =    165/250000, loss_l = 0.262, loss_u = 0.324, loss_my_cons = 0.847
iter =    166/250000, loss_l = 0.377, loss_u = 0.372, loss_my_cons = 0.511
iter =    167/250000, loss_l = 0.747, loss_u = 0.569, loss_my_cons = 0.775
iter =    168/250000, loss_l = 0.304, loss_u = 0.256, loss_my_cons = 0.428
iter =    169/250000, loss_l = 0.421, loss_u = 0.443, loss_my_cons = 0.280
iter =    170/250000, loss_l = 0.331, loss_u = 0.345, loss_my_cons = 0.293
iter =    171/250000, loss_l = 0.794, loss_u = 0.696, loss_my_cons = 0.929
iter =    172/250000, loss_l = 0.332, loss_u = 0.179, loss_my_cons = 1.285
iter =    173/250000, loss_l = 0.462, loss_u = 0.471, loss_my_cons = 0.600
iter =    174/250000, loss_l = 0.260, loss_u = 0.224, loss_my_cons = 0.806
iter =    175/250000, loss_l = 0.439, loss_u = 0.288, loss_my_cons = 0.596
iter =    176/250000, loss_l = 0.320, loss_u = 0.483, loss_my_cons = 0.552
iter =    177/250000, loss_l = 1.248, loss_u = 1.129, loss_my_cons = 0.912
iter =    178/250000, loss_l = 0.247, loss_u = 0.208, loss_my_cons = 0.528
iter =    179/250000, loss_l = 0.637, loss_u = 0.401, loss_my_cons = 0.464
iter =    180/250000, loss_l = 0.259, loss_u = 0.212, loss_my_cons = 0.463
iter =    181/250000, loss_l = 0.469, loss_u = 0.423, loss_my_cons = 1.135
